Date,Notes,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
2023-06-19,Last beamtime was on 2023-Jun-8 ,5.5,4.9,6.1,2,4.8,5.6,1.9,6.9,4.7,4.3,4.3,5.5,5.7,4.7,5.3,4.7,0.7,3.6,0.7,,,,3.4,3.8,3.3
2023-06-20,Last beamtime was on 2023-Jun-8 ,6.2,5.2,4.9,2.4,5.6,7.1,7.1,6,1.8,3.8,2.3,3.3,4.6,3.2,6.7,3.6,3.5,1.3,2.7,1.8,,,0.5,3.4,5.6
2023-06-21,Last beamtime was on 2023-Jun-8 ,3.4,4.1,5.4,4.7,2.9,7.8,4.4,2.9,4.4,3.2,1.6,1.9,1.4,4.7,4.2,3.3,5.7,2.8,2.4,2.6,,,4.8,1.9,6.3
2023-06-23,Last beamtime was on 2023-Jun-8 ,4.9,4.8,3.8,3.9,7.6,6.1,4.2,5.4,5.3,4.2,4.9,9,6.7,4.6,4.4,1.7,3.2,4.9,2,1.9,,,4.2,3.1,2.1
2023-06-26,Last beamtime was on 2023-Jun-8 ,7.3,2,2.7,1.8,6.9,4.9,2.6,3.3,4.8,6.8,3.1,6.6,3.6,1.7,6.7,3.2,4.4,1.4,2.5,0.2,,,4.5,1.4,1.1
2023-06-28,Last beamtime was on 2023-Jun-8 ,2.2,4.1,6.6,3.6,6,4.7,2.3,2.9,4.3,4.4,5.3,5.5,3.4,7,1.6,2,4.9,3.3,5.7,4,,,2.5,2.2,2.4
2023-06-30,Last beamtime was on 2023-Jun-8 ,1.5,1.9,6.8,4.2,5,1.6,1.4,1.3,6.3,2.4,1.6,4.8,3.9,5,1.8,1,4.3,2.1,2.4,0.5,,,3.4,1.8,2.9
2023-07-05,Last beamtime was on 2023-Jun-8 ,2.1,5.5,2.8,2.7,3.3,7.8,4.7,4.2,7.8,2.6,2.2,1.5,1.3,3.7,1.9,3.3,1.9,3.1,1.3,2.9,,,3.6,2.9,0.8
2023-07-07,Last beamtime was on 2023-Jun-8 ,4.9,3.2,2.6,1.4,5,1.5,3.8,4.5,6,4.5,5.5,3.2,5.3,4.4,5,6.2,4,2.5,5.2,3.1,,,3.3,5.6,3.5
2023-07-10,Last beamtime was on 2023-Jun-8 ,2.9,4,4.6,3.5,3.8,1.2,6.6,3.4,2.4,4.4,2.7,1.8,2.1,2.9,2.5,31,0.4,0.2,4.1,1.3,,,2.3,3,0.8
2023-07-12,Last beamtime was on 2023-Jun-8 ,0.3,3.8,6,3.1,3.4,4.6,4.4,0.4,3.3,4.1,3.9,5.4,4.8,4.3,2.1,6.3,1.6,3,2.7,1.1,,,1.6,3.5,3.2
2023-07-14,Last beamtime was on 2023-Jun-8 ,2.4,4.1,2.8,5,3.5,4.2,3.5,5.5,4.1,4.5,4.1,7.7,4.9,3.4,3.1,2.6,3.5,3.5,2.9,2.9,,,2.2,2.3,1.8
